date, title, location, link, details
27/3/2009,Exploring Longitudinal Data: A Peek at Workforce  Experiences,"Second Midwest Statistics Research Colloquium, University of Chicago",,invited talk
23/2/2009,From Restaurants to Climate Change: Using Statistics to  Understand Our World,"Mathematics on the Road Experience, Prairie Lakes AEA",,invited talk
10/2/09,Statistical Inference for Visual Methods,Houston Chapter of the American Statistical Society,,invited talk
27/6/2008,Brain Candy: Using Data Graphics to Learn about Variability and Uncertainty in Our World,"PCST-10 (Public Communication in Science and Technology, Malmo, Sweden",,invited talk
25/6/2008,Categorical Variable  Linking for Exploring Longitudinal Data,"Data Vis VI, Bremen, Germany",,invited talk
30/5/2008,Using R and Ggobi for Exploratory Data Analysis,"Seminar in Statistik, ETH, Zurich",,invited talk
29/5/2008,Exploring  Longitudinal Data: A Look at Workforce Experiences,"Zurcher Kolloquium, ETH, Zurich",,invited talk
25/4/2008,An  Exploratory Approach to Longitudinal Data Analysis,"Department of Statistics, University of Bristol, UK",,invited talk
28/3/2008,An  Exploratory Approach to Longitudinal Data Analysis,"Department of Statistics, University of Glasgow, UK",,invited talk
6/3/08,An  Exploratory Approach to Longitudinal Data Analysis,"Department of Statistics, Oxford University, UK",,invited talk
10/1/08,Looking at Models in High-Dimensional Data  Space,"Contemporary Frontiers in High-Dimensional Statistical Data Analysis, Cambridge, UK",,invited talk
1/8/07,Improving Statistical Posters,"Introductory Overview Lecture, JSM '07",,invited talk
1/8/07,Exploring models for clustering data,JSM '07,,invited talk
1/12/06,An EDA of my CDs,"University of Auckland, New Zealand",,invited talk
1/5/06,An EDA of my CDs,"University of California, Los Angele",,invited talk
1/10/05,Graphics for Multivariate Data,"Gold Standard(s) for Education conference, Vancouver Island, BC, Canada",,invited talk
1/3/05,Exploring Microarray Data with Plots,University of Iowa,,invited talk
15/7/2004,"Visualizing Class and Cluster Structure
beyond 3D","International Federation of Classification Societies annual
meeting, Chicago, IL",,invited talk
22/4/2004,"Visual Methods for Data from Two Factor
Single-Replicate Gene Expression Studies","University of New South Wales,
Sydney, Australia",,invited talk
19/4/2004,"Visual Methods for Data from Two Factor
Single-Replicate Gene Expression Studies","Department of Statistics, University of Newcastle, Newcastle, Australia",,invited talk
21/3/2004,"CSIRO, Sydney, Australia","CSIRO, Sydney, Australia",,invited talk
16/3/2004,"Data through the
windshield in p-dimensions","Department of Statistics, Macquarie University, Sydney,
Australia",,invited talk
